,0,1,2
0,133.34761904761905,-28.09904761904762,209.69952380952378
1,131.88761904761904,-19.72761904761905,211.8042857142857
2,131.21333333333337,-11.439047619047617,213.1185714285714
3,130.7595238095238,-2.9071428571428575,213.89666666666668
4,131.95190476190479,4.947619047619048,212.42000000000002
5,133.74666666666664,12.86809523809524,211.85619047619045
6,137.03285714285707,20.764761904761905,208.99571428571429
7,140.6247619047619,27.37142857142857,205.2290476190476
8,145.6361904761905,33.459523809523816,200.5666666666667
9,151.44809523809525,37.0052380952381,195.63857142857145
10,156.9704761904762,39.91571428571428,190.49285714285713
11,163.28809523809525,42.00333333333333,184.07000000000002
12,169.24714285714285,41.28904761904762,178.4852380952381
13,175.23380952380953,40.44523809523808,172.60142857142858
14,181.21619047619043,36.88285714285715,166.98619047619044
15,185.75,32.29,162.0514285714286
16,190.12,26.5,158.5052380952381
17,192.60380952380953,20.200000000000003,155.0361904761905
18,195.4804761904762,13.242380952380953,152.47714285714287
19,197.10190476190473,6.255714285714286,151.3385714285714
20,197.98619047619044,-1.033809523809524,150.37904761904767
21,197.79476190476194,-8.929047619047617,149.22761904761902
22,196.71333333333337,-16.09523809523809,150.17619047619047
23,195.14999999999998,-23.861904761904754,150.8847619047619
24,191.9985714285714,-30.85571428571429,153.04095238095238
25,188.88809523809522,-36.61,156.0457142857143
26,184.98333333333332,-42.415714285714294,159.63380952380953
27,180.1457142857143,-46.51,163.8590476190476
28,175.54238095238097,-49.66,168.43333333333334
29,169.93857142857146,-51.85095238095238,173.47904761904763
30,164.32285714285715,-53.216190476190484,178.47285714285707
31,159.19190476190477,-52.39190476190476,183.76761904761906
32,153.38333333333335,-49.827619047619045,188.57
33,148.72285714285715,-47.31714285714286,193.83619047619052
34,144.68285714285713,-43.18952380952383,198.55047619047622
35,141.65333333333334,-38.21380952380952,201.96904761904764
36,127.87190476190479,-75.60333333333334,200.4442857142857
37,136.37000000000003,-82.00761904761906,191.64523809523808
38,145.38047619047617,-85.29238095238097,182.69190476190477
39,154.86095238095237,-87.34999999999998,173.16619047619048
40,164.49809523809523,-85.94857142857143,165.1442857142857
41,173.72428571428568,-83.77047619047623,154.79666666666668
42,182.5295238095238,-78.84619047619049,147.89190476190475
43,191.6209523809524,-72.23,139.4452380952381
44,198.60857142857142,-63.54619047619047,133.4404761904762
45,205.50809523809528,-52.902857142857144,126.2852380952381
46,210.6071428571428,-42.45666666666668,121.93666666666667
47,214.70999999999995,-29.45952380952381,118.90714285714287
48,217.0819047619048,-14.880476190476186,118.1409523809524
49,217.48333333333332,-2.058095238095238,118.90857142857145
50,216.1747619047619,10.59047619047619,119.93047619047621
51,213.6166666666667,24.79857142857143,123.49476190476194
52,209.7457142857143,36.63714285714286,127.7147619047619
53,204.73,46.856190476190484,132.92904761904762
54,198.00857142857143,55.970952380952376,139.64285714285717
